name    lockout
health  1
type	none
facing  1
subject_to_hole 0
subject_to_obstacle 0
subject_to_platform 1
subject_to_gravity 0
setlayer 9999999999

anim idle
	 loop    0
	 delay   4
	 offset  36 91
	 bbox    0 0 0 0	
	 sound   data/sounds/lock.wav
	 frame   data/chars/0misc/lock01.gif
	 frame   data/chars/0misc/empty.gif
	 frame   data/chars/0misc/lock01.gif
	 frame   data/chars/0misc/empty.gif
	 frame   data/chars/0misc/lock01.gif
	 frame   data/chars/0misc/empty.gif
	 frame   data/chars/0misc/lock01.gif
	 frame   data/chars/0misc/empty.gif
	 frame   data/chars/0misc/lock01.gif
	 frame   data/chars/0misc/empty.gif
	 frame   data/chars/0misc/lock01.gif
	 frame   data/chars/0misc/empty.gif
